,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
419,0.379,0.075,-20.328,0.0408,0.992,0.913,0.106,0.0353,68.232,0OrZXWjGgGUuoIoqnLvtJN,241187
420,0.447,0.449,-10.634,0.0376,0.934,0.961,0.0697,0.036,92.468,1BncfTJAWxrsxyT9culBrj,315427
421,0.329,0.0232,-24.632,0.0372,0.993,0.922,0.0965,0.112,111.377,65a1ng2xAbaRbYWsq9H2MH,209693
422,0.457,0.0252,-35.116,0.0621,0.996,0.875,0.0975,0.168,74.137,5zIJsFst05gsrUdr9ghEpG,138840
423,0.0958,0.322,-13.753,0.0458,0.159,0.855,0.105,0.0332,87.339,58vWVeAtv2LKwlYyRLPWV5,374400
424,0.313,0.082,-21.063,0.0334,0.935,0.849,0.335,0.18,92.554,16i2ij3Q3tqSpZjHXbTDXW,303173
425,0.331,0.00922,-30.88,0.041,0.993,0.953,0.102,0.0713,132.883,503fwzlbWHx5g0CqlU9Giu,242587
426,0.0769,0.0846,-25.997,0.045,0.922,0.929,0.113,0.0586,176.329,0DqFXzLtKkj9JO421NJpl1,363253
427,0.126,0.204,-16.095,0.0373,0.924,0.918,0.115,0.053,73.59,1TQ2UYCN7nhfj3cfcFC76V,183000
428,0.0746,0.0327,-27.191,0.0412,0.959,0.886,0.087,0.0504,75.083,7lY6qt63y0Ag5lpHMVglLo,403333
429,0.137,0.0326,-29.102,0.0379,0.928,0.916,0.162,0.0755,82.805,7F0TGSmNn87tqm4tB81m4U,315933
430,0.42,0.0876,-28.052,0.0425,0.995,0.9,0.102,0.278,82.496,5xVcnhVL0AwcOgbpuxTu6W,266213
431,0.393,0.0152,-30.793,0.0437,0.995,0.906,0.075,0.164,75.084,1hX3yoGAJypm6dMMWLoyKo,161293
432,0.222,0.00847,-29.725,0.0401,0.992,0.883,0.0912,0.147,67.386,0DMTFPtUOkBgfM4U0Ih8LR,296773
433,0.303,0.00958,-28.556,0.054,0.991,0.953,0.109,0.212,72.204,7elLKWtTEMCbOmYZ37ci9r,264845
434,0.175,0.212,-14.073,0.0374,0.85,0.86,0.0979,0.128,132.026,47kA4ykK0Rlwjf8oV2HMo7,277853
435,0.0869,0.0587,-22.846,0.0397,0.929,0.762,0.113,0.0372,86.027,3NrOSg735np3PW8OEvt5F8,225133
436,0.456,0.456,-16.055,0.0535,0.973,0.353,0.186,0.974,144.489,4XJXYvjW0CB2MLMk8l7Vdi,210680
437,0.07,0.0724,-25.949,0.0404,0.946,0.896,0.286,0.0369,75.518,0H3JiNc4CGnFVwMqWvACmO,327600
438,0.217,0.159,-19.013,0.0459,0.961,0.943,0.101,0.0395,104.533,1BpKbG3NkHgK5AypMtdUv9,317781
439,0.326,0.0436,-30.607,0.0407,0.995,0.908,0.0997,0.458,70.121,7zv2BCCUu8bwd9fo9BA8IK,248293
440,0.274,0.167,-15.996,0.0431,0.634,0.939,0.104,0.0408,113.631,7cp3lHAPGcUbb7tJP0kuxl,334553
441,0.235,0.365,-13.863,0.0356,0.927,0.907,0.17,0.126,91.187,63ZSow0dnUhOr175IbNZa2,183667
442,0.149,0.101,-19.935,0.0342,0.984,0.917,0.184,0.0486,79.567,4Lpe7VxL34rcMnpfOwoqOI,202000
443,0.377,0.0105,-32.994,0.0426,0.994,0.895,0.0638,0.0996,76.055,3vSOD8Ng5m8eLH4EhoJcTL,143806
444,0.307,0.036,-28.755,0.0522,0.995,0.801,0.0941,0.171,138.26,5Gm2tHCFTzb0vHZfReSr5f,211440
445,0.277,0.0148,-33.992,0.035,0.994,0.917,0.103,0.153,138.564,4sh6V9AnglIBepfD5mTyqn,309600
446,0.0863,0.201,-14.365,0.0355,0.915,0.943,0.113,0.0398,74.351,02xd7yuAEiLOF7rt4zlPep,285251
447,0.161,0.0321,-22.425,0.0556,0.976,0.7,0.0963,0.138,178.018,7q2DehTTvivpurQfe41iCy,206520
448,0.221,0.0612,-21.344,0.0392,0.97,0.491,0.0661,0.0692,104.181,2buQqAGeQDkkUySsKyoDQJ,329653
449,0.447,0.327,-16.489,0.0432,0.864,0.0224,0.085,0.565,100.439,0EnEULk14Oso59QtQHVUoC,445624
450,0.335,0.0118,-23.89,0.0406,0.992,0.933,0.085,0.0805,91.146,5wDBBKEIiDYwPQj4SpbBPI,290933
451,0.404,0.182,-18.564,0.047,0.871,0.789,0.3,0.206,98.539,3FtVBG9AY9KEIXcMhCUrAG,418000
452,0.447,0.0773,-25.568,0.0519,0.986,0.867,0.125,0.53,101.229,6ZJ9lLDRwr5w5oCuRHhBHx,52929
453,0.425,0.00472,-37.89,0.0479,0.996,0.953,0.0985,0.484,81.93,4nd6FMCfNFWkbi2dnsf5I3,190560
454,0.361,0.0437,-27.32,0.0643,0.994,0.756,0.118,0.18,162.158,595G0No6FI82sWWsbsQEoX,107000
455,0.159,0.054,-23.234,0.054,0.977,0.0148,0.0961,0.062,174.394,1ypvFPpRdI7bV38hctvL2Z,278547
456,0.192,0.0626,-26.368,0.0371,0.953,0.9,0.147,0.0395,77.698,4u2Kn8DaYBEuB19AjWcMDn,168085
457,0.335,0.0287,-27.4,0.041,0.991,0.888,0.0874,0.0371,67.446,6mfmrVSe5Cm7cvsNwW6uJk,328000
458,0.218,0.0363,-23.891,0.05,0.96,0.886,0.124,0.078,121.017,5EGQC8qSbx5xQD8dlat1R3,219693
459,0.244,0.0739,-22.008,0.0547,0.986,0.0152,0.0832,0.0931,86.218,6kFy7huUv9xoGw52pZgh6H,226028
460,0.498,0.00875,-34.43,0.0396,0.994,0.957,0.0836,0.289,78.711,63ow4jM1Yg5qpILxh9vtkO,161373
461,0.197,0.422,-13.065,0.0423,0.513,0.555,0.284,0.0948,94.018,31BLOz0XDJPPDKI94Gd14v,385070
462,0.0875,0.112,-22.576,0.0471,0.966,0.39,0.0931,0.0394,68.218,33DWEcHqtj1w5rnghLE77x,223173
463,0.203,0.00733,-36.605,0.0402,0.959,0.877,0.104,0.0806,62.017,4CBIdJ5o1XyMlkUg4jOHWg,241800
464,0.202,0.174,-12.877,0.048,0.903,0.868,0.184,0.0386,126.118,4JXppv83zXXt1tNs4MsXd6,186469
465,0.382,0.0499,-25.262,0.0548,0.994,0.906,0.109,0.0779,125.903,7IHEJdJhju1F2rhIiwgawx,316653
466,0.302,0.183,-14.139,0.044,0.808,0.0198,0.17,0.111,99.064,65J9Ep6oWjSgyJ8MFChjWl,168013
467,0.607,0.323,-17.426,0.0416,0.938,0.933,0.274,0.891,117.574,6Ntsj2X8cjYHoG9ykImLsT,188000
468,0.307,0.00229,-34.977,0.0519,0.992,0.931,0.098,0.281,67.775,5RWA30VaTsYkFrkzxKL3aK,283280
469,0.357,0.0431,-25.461,0.0334,0.992,0.948,0.13,0.0698,131.976,3uzaVkdNuUZOn3KtsQjwDy,313973
470,0.447,0.0159,-25.612,0.063,0.995,0.933,0.195,0.107,131.542,1YluEbLfaWBfV2GpQQLOcZ,236467
471,0.411,0.0155,-28.791,0.0406,0.995,0.88,0.0813,0.0379,97.841,0d71p8tQDxLgdTkEHcxQyl,198493
472,0.414,0.0454,-28.278,0.0421,0.992,0.891,0.104,0.0388,69.508,2Fqi28vvtFUjKSCrKGUg4i,339893
473,0.0745,0.00696,-39.507,0.0434,0.994,0.915,0.071,0.0846,213.087,2XYEu7Deyz20WeL6Py3XLc,464453
474,0.225,0.0486,-25.253,0.0609,0.873,0.0292,0.096,0.0695,98.763,1fWeZQfdmAoi3HWpHcn4tM,232680
475,0.307,0.0515,-28.493,0.0324,0.708,0.631,0.42,0.154,128.056,5xm20JNLHy9vUVrnmZS6Uj,125533
476,0.0659,0.0102,-34.463,0.0461,0.866,0.941,0.0899,0.0376,69.004,4cfwFc5ptXuzQMT9fSdnOl,162133
477,0.264,0.0516,-24.887,0.0433,0.992,0.894,0.0908,0.0782,70.802,213c1iusR15fQyr8ttyi1v,171667
478,0.35,0.118,-21.192,0.0415,0.968,0.0607,0.118,0.255,124.135,4DsbdOinvRPoD2ax4DhxMU,337587
479,0.349,0.191,-16.111,0.0463,0.992,0.936,0.132,0.0414,140.422,1jcQ040aWKeiUGJ2IcnFtV,191000
480,0.472,0.0284,-24.192,0.0568,0.991,0.837,0.0427,0.11,131.654,0Gqd8s8FPiCn8k6BLp3kVa,340414
481,0.153,0.0422,-22.307,0.0367,0.964,0.887,0.0992,0.0422,83.81,6g4APvysGUmiSl9hyxPboK,290847
482,0.527,0.0325,-26.594,0.0359,0.995,0.882,0.113,0.187,111.15,4JWVkr5jUjylM3hMG5zvXw,255267
483,0.221,0.126,-25.367,0.0447,0.989,0.897,0.0769,0.216,133.564,4i8ly7ffzWu8nfKLI8SZFj,139307
484,0.279,0.0172,-27.441,0.035,0.994,0.885,0.077,0.0608,75.631,3z3nJD2LEW3yFMaEjjGerZ,236600
485,0.205,0.0821,-24.012,0.0482,0.958,0.933,0.0996,0.0593,68.853,29T3H5d9TgTlYcKiuNxdRT,201074
486,0.354,0.0125,-27.577,0.0443,0.995,0.959,0.0782,0.0691,98.211,6q5co1XdRmnMeWlL1RWXPK,220560
487,0.252,0.0578,-26.184,0.0518,0.953,0.0163,0.0721,0.0391,108.013,1BbQIyPnuhVIlJEqPcY3Ug,141707
488,0.583,0.0238,-32.244,0.0369,0.994,0.847,0.103,0.426,108.74,5RqKo9P4DLA0bVyY70cWkr,131923
489,0.296,0.00896,-31.948,0.0394,0.994,0.91,0.0815,0.0673,69.44,43bSKCMWHIuBsUVmQcDX1J,257000
490,0.103,0.00526,-29.845,0.0468,0.989,0.839,0.0997,0.0433,82.597,6a3LTwG4gwiC62EUNff5AD,118853
491,0.458,0.0259,-27.928,0.0502,0.964,0.828,0.108,0.204,123.716,0scC8HqVaRe04wA0EeAZLp,295547
492,0.233,0.00786,-31.624,0.0528,0.958,0.905,0.106,0.0686,132.011,171fKTIvL8wDal3N6Uv0Bk,262000
493,0.175,0.0283,-26.8,0.0405,0.986,0.873,0.0721,0.0328,67.495,7dZyWWwjruK9YiJiN9mbMC,281667
494,0.114,0.0701,-23.417,0.0445,0.87,0.431,0.0916,0.0371,89.33,7pgJTa3eZM4kkT2vsZUmFt,331933
495,0.235,0.0561,-23.311,0.0442,0.95,0.29,0.119,0.0518,107.619,6aANvQTjMgtOlCAaHlYcyn,271560
496,0.205,0.0525,-23.841,0.0327,0.98,0.906,0.103,0.0511,88.316,419qlOGNXoyICx4jO0hqaj,174653
497,0.357,0.136,-21.212,0.0618,0.921,0.00342,0.264,0.409,88.931,7staad9eqX2BbnJBQ8m9tc,194946
498,0.0891,0.0894,-25.653,0.042,0.936,0.748,0.416,0.0728,80.828,6t7lMFHSifu9j8NPMNCv9T,284000
499,0.332,0.0525,-24.1,0.0388,0.991,0.891,0.0683,0.097,78.853,2k2MprlqkmDMKKOOWGREzW,158600
500,0.476,0.000707,-36.606,0.164,0.864,0.299,0.104,0.27,68.311,2Lio4KTzsA8BPLhXmyo4CQ,647973
501,0.219,0.0153,-33.563,0.0346,0.994,0.923,0.0934,0.1,57.439,7BpDcPsVqfMgHdVglLK3Kt,312757
502,0.487,0.00409,-38.66,0.0612,0.985,0.894,0.0965,0.16,115.369,3iWo5Y9DpJNdFI3lERYgEy,242811
503,0.371,0.131,-23.899,0.0422,0.898,0.925,0.0847,0.0656,106.872,4PRnYCH5hoxypKVcOBvx3a,442693
504,0.263,0.388,-11.125,0.04,0.266,0.0874,0.0933,0.152,137.852,6xdhAIbohZbctt3rstAsnH,231732
505,0.155,0.0522,-25.087,0.0413,0.993,0.894,0.105,0.0585,70.473,0Y9BzZGT2FuLVPrHoq1g2G,336093
506,0.072,0.0538,-25.076,0.0462,0.974,0.822,0.101,0.0618,68.007,1xKqK9hrIRN0rnHbRfmbv5,189000
507,0.258,0.0238,-28.865,0.0428,0.994,0.904,0.106,0.0757,140.596,4XPq8MBYuWi4Z5PzmebwYo,182647
508,0.398,0.0252,-26.613,0.0624,0.992,0.914,0.108,0.117,74.696,7yNdc5jF4CAe2TzFadHPKK,291319
509,0.402,0.0275,-25.462,0.0686,0.963,0.896,0.125,0.365,76.219,0fqveSCZR2TqGAtEid72Ua,73679
510,0.309,0.0108,-36.169,0.0478,0.994,0.929,0.0565,0.2,128.544,76PT3Wp1xEYDkMFeLj5H8d,156467
511,0.464,0.0216,-25.896,0.0466,0.987,0.863,0.0974,0.235,101.965,21Fs9UuXGoESVVESdWTxZ5,212040
512,0.522,0.0308,-26.86,0.0641,0.995,0.915,0.0805,0.313,72.551,0ftAOThcYwpSDapJhDOy7o,284000
513,0.392,0.501,-12.513,0.146,0.682,0.909,0.442,0.113,152.481,6Olyr6tQ7DKWPJro6nn35C,246760
514,0.184,0.0365,-28.57,0.0451,0.978,0.000201,0.0691,0.0352,92.433,4VpLwqzkob5lUeTE9rCqcK,134929
515,0.206,0.0645,-25.162,0.0396,0.985,0.894,0.138,0.0398,79.757,3hgRiVuiBWVbpd4kBQD68m,205560
516,0.282,0.0714,-26.705,0.0532,0.957,0.288,0.113,0.108,90.298,4aGi0uWDjzW8asTmAlBJrg,173000
517,0.254,0.0681,-25.069,0.0346,0.971,0.92,0.19,0.0916,100.078,6qRi4Nuw8lU4pn0kK3LGJA,182333
518,0.382,0.49,-12.627,0.0394,0.816,0.921,0.276,0.241,80.069,6VbKfs0qEJBUfICAyon04g,290992
519,0.165,0.0239,-26.612,0.045,0.995,0.922,0.0966,0.0953,66.737,16xQMSrDSEWP5Lp8GrHGcu,418227
520,0.39,0.0235,-32.271,0.0474,0.986,0.954,0.0646,0.189,80.233,62Boz6NDFyOT3tKkSWis2E,108053
521,0.159,0.175,-19.99,0.047,0.819,0.933,0.107,0.114,181.043,3l8h6urWQ8SxZINH323Zc7,158933
522,0.401,0.0127,-23.075,0.0586,0.995,0.906,0.0859,0.0691,130.857,16lscXk0JZ078EVRAIN7Bs,379667
523,0.28,0.103,-19.187,0.0391,0.982,0.958,0.0668,0.153,58.445,7mX2xUpAPaMVh0zHhGoDkC,203926
524,0.304,0.04,-23.131,0.0428,0.977,0.895,0.108,0.181,139.544,6TS1h31F8I9SIBIwIvdKYk,237480
525,0.354,0.00717,-23.13,0.0413,0.987,0.671,0.0959,0.116,80.517,5BmNj3cDAyqSFw69VY12WU,212991
526,0.543,0.0449,-26.709,0.0374,0.932,0.9,0.0986,0.0745,146.132,7AEf1Jc3htMKTWmFZOOGtR,189364
527,0.193,0.0656,-19.239,0.0471,0.995,0.829,0.119,0.0359,128.975,46tPGzCXCI2oKsemztDA9u,402493
528,0.168,0.00571,-36.245,0.0404,0.995,0.92,0.068,0.0705,78.043,4ObQ0m7VUtrgdEwpFeCKua,181693
529,0.251,0.106,-20.338,0.0525,0.986,0.917,0.0901,0.0928,129.891,3G4mnG1syPccyEfeW2i7WI,255173
530,0.172,0.00592,-35.553,0.0454,0.975,0.000263,0.074,0.233,73.816,6IUfNz7B3fwyI4FWPJdFWe,99244
531,0.151,0.0857,-25.567,0.0521,0.984,0.0636,0.0899,0.0621,78.785,6brnswWmZ8Xdf4MWeskofY,218107
532,0.266,0.00361,-29.735,0.052,0.995,0.925,0.0723,0.0631,94.861,29S6PLRccSCyKozzwIik0J,160453
533,0.156,0.0645,-24.416,0.0516,0.993,0.9,0.0757,0.0363,89.281,14DLTNK9HrUbwJM0H9FGxI,109493
534,0.195,0.0429,-17.829,0.0381,0.879,0.00057,0.0787,0.0394,75.159,7f6yQYQ600Klj3v56omFJR,250800
535,0.213,0.0868,-27.444,0.0413,0.952,0.907,0.111,0.44,138.349,6sLr7HzQe2xQVhBmhrT3vU,163733
536,0.246,0.0735,-24.199,0.0675,0.994,0.894,0.0775,0.0378,66.541,7auzpFwCwJhgwkQ8jQdtWb,161520
537,0.152,0.0274,-29.234,0.0478,0.979,0.895,0.107,0.0398,88.171,3mk0kPavvau5tz8b174cdl,300232
538,0.37,0.0076,-33.663,0.0384,0.995,0.91,0.0864,0.278,62.668,3NbAsIxDL0fVgNuCLD152P,176518
539,0.106,0.132,-15.584,0.0531,0.894,0.632,0.127,0.0398,66.638,0RpkVigRs7isnjAaK6WOdQ,328894
540,0.406,0.00921,-31.822,0.087,0.984,0.906,0.0953,0.303,80.507,2Imxyb3LiuXsDFo7Gq5YDs,215800
541,0.209,0.0193,-31.754,0.0413,0.952,0.0125,0.296,0.0603,100.426,2oBEw0ppansoY565M3QSjZ,192373
542,0.197,0.00138,-43.657,0.0505,0.992,0.86,0.0508,0.228,72.243,7wimV3Cs7awovZner8YvD5,220827
543,0.239,0.287,-12.565,0.0388,0.876,0.644,0.122,0.185,71.608,39uLYYZytVUwcjgeYLI409,311107
544,0.239,0.0142,-29.65,0.0438,0.995,0.894,0.0659,0.306,172.559,2Tz7fLm0pWasWCCfJiHPlJ,243373
545,0.288,0.0386,-26.513,0.0374,0.976,0.937,0.103,0.133,132.239,5liyqr2PFQKbYPKRAjedvq,142480
546,0.321,0.0272,-25.066,0.037,0.993,0.919,0.0947,0.0632,74.69,4h4py9AzEuUGBTJZO4ifnm,221732
547,0.235,0.183,-15.257,0.0438,0.918,0.229,0.0985,0.0458,97.898,0enxWAXiYB6JEVqzIRgDba,193320
548,0.505,0.433,-13.923,0.0343,0.875,0.907,0.111,0.145,133.999,3bagw7W1Q4nsecXdDV5CAx,155805
549,0.245,0.077,-25.633,0.0305,0.957,0.843,0.121,0.0677,73.999,2tJBG2m6K5jUKxzyTZm9Z7,321820
550,0.102,0.0419,-24.896,0.0485,0.977,0.834,0.0866,0.0406,170.8,7oenWdkfvoEySYVc0rH6Cq,261720
551,0.246,0.144,-23.904,0.0456,0.994,0.902,0.0908,0.0558,66.196,2mTYDD0oiG5L4BEvMPZsOO,36453
552,0.199,0.0677,-20.879,0.039,0.786,0.738,0.225,0.145,78.866,2LiWNkeUOAeibGxJKxmjsD,307827
553,0.249,0.225,-16.879,0.0343,0.901,0.89,0.0987,0.158,77.956,5D6GPHLuelrjivumi4YWwt,279930
554,0.183,0.0157,-25.289,0.0374,0.993,0.962,0.0839,0.0373,73.068,5J43zdQTc8ekUdknGU6c5M,149200
555,0.151,0.0472,-25.197,0.0452,0.924,0.818,0.0716,0.0471,139.44,1xxtp0zJZNTyMeE7vzKBOW,156333
556,0.294,0.00785,-29.64,0.0667,0.994,0.956,0.0929,0.173,70.958,1PINN6x0Riouab3wPSglpp,158520
557,0.484,0.0193,-25.031,0.0477,0.993,0.936,0.0706,0.0732,70.447,4kRZaiCbkpJWo6yxjuUrAF,223653
558,0.2,0.0783,-24.392,0.0596,0.933,0.165,0.111,0.0406,97.801,6Teem6p2CvvB9HDr2MUBq4,372840
559,0.0979,0.0801,-19.643,0.0458,0.941,0.431,0.115,0.0608,75.314,7nGA1sRfLDWXYb3VPstnZf,192420
560,0.285,0.00453,-29.871,0.0459,0.995,0.845,0.109,0.0587,70.075,7msmTNDbP3QWWuevPxcm48,230181
561,0.289,0.0115,-29.475,0.0367,0.981,0.949,0.0841,0.0479,83.284,22Y5vvWLZ38ipJiOGgdFqI,212000
562,0.414,0.1,-18.42,0.031,0.972,0.902,0.109,0.106,95.075,53sR7EKIy3Yc2a3xPXMz9h,160089
563,0.319,0.0553,-27.051,0.0442,0.976,0.927,0.114,0.146,96.82,5UhNUgVvEDNY7FBYo5f7QJ,178787
564,0.358,0.167,-16.0,0.0354,0.899,0.96,0.103,0.601,144.561,2oLjhx7w8Hyd3gry9cCXr7,138707
565,0.323,0.0186,-28.248,0.0477,0.99,0.934,0.105,0.126,85.228,6GLy7czJd5VC2Jf47lpj12,207640
566,0.245,0.0562,-21.374,0.048,0.987,0.849,0.0793,0.153,93.484,6mJU2BSVEm03xuNQeu0aIr,180442
567,0.187,0.109,-21.143,0.048,0.938,0.867,0.124,0.0501,139.128,1G2mAZQL8xfy9wRqC6fY6K,147093
568,0.217,0.0408,-26.146,0.0379,0.994,0.912,0.0553,0.0614,159.179,11kFCPT3e5GGpDQhX6d4sD,260973
569,0.209,0.0152,-32.064,0.0573,0.996,0.961,0.0894,0.149,84.292,536wHI10jgntsG8BaeiIog,73000
570,0.149,0.0904,-20.34,0.0426,0.892,0.0395,0.0833,0.0292,103.453,6GewKupuOJzW9LoRs0w2dI,218639
571,0.162,0.0682,-21.254,0.0393,0.989,0.475,0.116,0.0358,144.568,2TOUdZaG9w8pbGVoH0GohP,228013
572,0.489,0.0141,-23.312,0.0453,0.994,0.898,0.109,0.272,127.461,3SokfTeWt84ZeUenQUPzAX,194667
573,0.273,0.00516,-27.926,0.0397,0.994,0.9,0.0955,0.136,91.405,73cFlYu63RLX1qn9qzMXiJ,176187
574,0.13,0.086,-21.92,0.0373,0.932,0.912,0.108,0.0375,90.223,3Sy6wgTNEp6vSgLs4EyXAf,391160
575,0.176,0.006,-42.238,0.0384,0.899,3.24e-05,0.105,0.0383,71.477,4wudbbceOZKjRlhTtbHvAs,636000
576,0.335,0.00501,-33.366,0.0451,0.993,0.919,0.0618,0.0383,132.085,1cmigB9I6IRpFqjIbzvSQB,294960
577,0.169,0.0161,-31.034,0.0442,0.986,0.86,0.0805,0.0573,128.143,0jOnZhF75V68VsBObWx2XO,174267
578,0.0921,0.0183,-31.858,0.0513,0.942,0.94,0.195,0.039,166.979,3JdD9wqvohYMjK6BmEHtTP,172120
579,0.324,0.0186,-28.248,0.0476,0.99,0.934,0.105,0.126,85.297,2m2GJpBjQNNphaCgBeoj7R,207640
580,0.406,0.00921,-31.822,0.087,0.984,0.906,0.0953,0.303,80.507,2Imxyb3LiuXsDFo7Gq5YDs,215800
581,0.141,0.00268,-37.571,0.0427,0.945,0.601,0.0756,0.0386,140.372,6y1FgcqMY76hCk9qLxUuy4,170213
582,0.213,0.0377,-33.06,0.0475,0.986,0.869,0.139,0.0973,165.763,4SsDrt7HV1ECcJ2A7EHfLL,195155
583,0.415,0.026,-36.7,0.0496,0.995,0.938,0.107,0.268,136.191,1G3QPQkoXvpChjNUhd6Tfs,285443
584,0.0979,0.0801,-19.643,0.0458,0.941,0.431,0.115,0.0608,75.314,7nGA1sRfLDWXYb3VPstnZf,192420
585,0.218,0.00352,-39.627,0.0515,0.992,0.951,0.139,0.192,68.61,2zM7Ato6xDOi8ten4qn7Cm,335542
586,0.186,0.0639,-23.374,0.0456,0.989,0.917,0.0953,0.0463,102.639,518hKWxnCK1L1fsYRl0OB5,176756
587,0.3,0.0405,-31.023,0.0449,0.992,0.948,0.138,0.233,63.821,2eSVQH8lwcrUBs7dpEj7p7,216061
588,0.146,0.019,-31.365,0.0476,0.92,0.878,0.0864,0.0492,81.526,5WEmDvDiRpE7p3y8SMMAPJ,93840
589,0.305,0.0384,-28.605,0.0301,0.961,0.902,0.0886,0.0856,81.917,0bCSGdS5SRvzoz4IBTD55W,221061
590,0.219,0.00913,-42.727,0.0352,0.993,0.882,0.0807,0.0702,75.77,3qLZnIVAiGexuNuG8Aptrq,187293
591,0.296,0.00896,-31.948,0.0394,0.994,0.91,0.0815,0.0673,69.44,43bSKCMWHIuBsUVmQcDX1J,257000
592,0.37,0.0076,-33.663,0.0384,0.995,0.91,0.0864,0.278,62.668,3NbAsIxDL0fVgNuCLD152P,176518
593,0.176,0.0534,-27.626,0.0406,0.97,0.915,0.29,0.0332,71.673,5TtmI9sfXw4VXco0PE21mV,132120
594,0.227,0.00482,-36.351,0.036,0.993,0.912,0.157,0.0731,70.684,2EAgTVB2EdsMdqaqOk062L,216284
595,0.248,0.00832,-38.205,0.0485,0.995,0.923,0.0669,0.239,175.256,1HE6aHCUtC6Mx0kiOsRUIS,137520
596,0.391,0.00316,-36.233,0.0382,0.995,0.925,0.068,0.143,69.792,73kFkK74uTO8fy8yBfMrTk,139760
597,0.429,0.0234,-29.753,0.0489,0.995,0.957,0.0962,0.0751,116.163,35otBCRXC8HdmRqndFStL0,165693
598,0.221,0.00193,-43.209,0.0409,0.992,0.956,0.0805,0.347,69.843,7lFRAFQ2f2AmWOefaiV4wb,107000
599,0.435,0.00354,-39.482,0.0485,0.986,0.909,0.096,0.179,68.542,65P5vqHd18YLG8AsaVGFjw,195000
600,0.299,0.00626,-30.923,0.0478,0.994,0.901,0.0823,0.0634,69.043,1Oo7XEqkrwifJn17aA0ocF,378733
601,0.454,0.0139,-29.966,0.0514,0.995,0.943,0.0736,0.244,130.253,5bu9A6uphPWg39RC3ZKeku,184853
602,0.435,0.00889,-33.986,0.046,0.992,0.941,0.121,0.29,110.307,2ZGFYsDWwjU0BBvVAw6js9,116960
603,0.46,0.00618,-28.121,0.0481,0.994,0.89,0.0896,0.086,67.12,1XJMRdFSgkrmw2cXLJOD0b,293520
604,0.238,0.00484,-31.76,0.0393,0.995,0.95,0.121,0.0394,70.821,1NechTDnTtSaciAT6gmvJQ,129920
605,0.294,0.00785,-29.64,0.0667,0.994,0.956,0.0929,0.173,70.958,1PINN6x0Riouab3wPSglpp,158520
606,0.16,0.00726,-39.362,0.0436,0.971,0.952,0.139,0.0336,86.12,308fmwi0Y8ULBSzthdhooI,137413
607,0.321,0.00611,-38.341,0.0362,0.995,0.908,0.09,0.0693,104.311,1YcABWwgkfrOSw8VMgDWZU,205493
608,0.346,0.00398,-44.526,0.0537,0.992,0.878,0.0643,0.318,78.891,06vaPTVwFkFxCzmJDXlfx5,103600
609,0.398,0.00209,-39.959,0.0444,0.996,0.955,0.0813,0.0971,71.461,6B0ZlLf0p2s1Lwt3ivAXKy,142333
610,0.32,0.00157,-43.77,0.0715,0.985,0.0465,0.05,0.109,78.685,3LRYwBJECFeQGi16cPxEZY,122840
611,0.124,0.0103,-31.768,0.04,0.983,0.85,0.0988,0.08,84.374,3zrcDZ9hPNkZuq20pxPb9o,204520
612,0.13,0.00924,-27.853,0.0448,0.988,0.909,0.0849,0.0369,77.307,6tmzIxHREnZzKSDMm6CNNS,386507
613,0.215,0.0282,-28.351,0.0353,0.991,0.877,0.107,0.167,74.408,4bFdyisLdkeS7tmbAWpl13,206163
614,0.0694,0.00525,-35.45,0.0482,0.972,0.00751,0.0739,0.036,73.566,1d1FNmfO3dFlH8873yNFX3,179360
615,0.253,0.00429,-36.172,0.0523,0.99,0.912,0.103,0.0368,74.497,2GnYCy70I8cR4oEA2wsSDx,256147
616,0.314,0.00545,-33.332,0.0597,0.994,0.945,0.0894,0.444,138.554,6k5iJy3uIEhaqZu9MCGCiq,188907
617,0.36,0.00301,-35.441,0.0444,0.994,0.897,0.0557,0.18,72.892,1v3gGmcneK1QzYyBFiBXG0,301400
618,0.168,0.00571,-36.245,0.0404,0.995,0.92,0.068,0.0705,78.043,06emSBtL6jcUXcjVlayUHl,181693
619,0.299,0.0264,-26.535,0.0469,0.995,0.882,0.073,0.235,168.963,6XmozAAnvBf2VtLL53AkX0,120457
620,0.182,0.0377,-33.748,0.0391,0.987,0.957,0.0804,0.0923,100.482,18JxYMTSFKZlxqdNFrOs1r,241804
621,0.358,0.00554,-29.617,0.0479,0.992,0.894,0.176,0.0587,67.103,2FR3mH7DwsaX3TcObkUEX3,448000
622,0.172,0.014,-27.988,0.0424,0.981,0.902,0.0735,0.0348,144.414,3gCYBFexR8dQZWeu4F15eu,398240
623,0.354,0.116,-28.692,0.0399,0.987,0.883,0.124,0.181,82.627,36EnMgx9PmtnzUtmKwI63h,116960
624,0.16,0.0261,-33.263,0.0517,0.917,0.232,0.113,0.0305,88.549,5k4Eagqnz3YKdMLjSSi0DD,229413
625,0.153,0.0398,-31.174,0.0432,0.867,0.965,0.114,0.0373,85.367,2cnCYr5QgPJG0OJqYY4DGF,133160
626,0.354,0.0322,-27.492,0.0435,0.992,0.955,0.104,0.0638,67.872,3CkbfNMYISwMGg2guJtTe4,253413
627,0.351,0.0241,-33.197,0.0538,0.995,0.925,0.131,0.179,81.805,2zl2AqEdHVLhjzStuRulGY,258519
